valid_time,t2m,d2m,u10,v10,sp
2025-07-31 02:00:00,300.00673555555557,299.1811022222222,-2.147660866666667,0.9474695466666666,97418.13222222222
2025-07-31 03:00:00,300.0727522222222,299.2523155555556,-2.492187077777778,1.3725729777777778,97424.50333333334
2025-07-31 04:00:00,300.0354433333333,299.25219555555555,-2.5616803666666663,1.6177642666666665,97451.80388888888
2025-07-31 05:00:00,300.62489222222223,299.42812,-2.2956599222222223,1.7763514,97462.25211111113
2025-07-31 06:00:00,301.50540666666666,299.90073888888884,-1.9449412944444444,2.1553698555555556,97435.95166666666
2025-07-31 07:00:00,300.9542366666667,299.82378222222223,-1.6128756266666666,2.529154355555556,97378.77988888888
2025-07-31 08:00:00,301.6153855555556,299.9284588888889,-1.214143746666667,2.2239802777777777,97350.16777777778
2025-07-31 09:00:00,301.8871144444445,299.94902444444443,-2.1052641333333333,1.8862644888888889,97325.84011111112
2025-07-31 10:00:00,300.54371888888886,299.9691888888889,-0.8042181855555556,0.6114861806666667,97301.61266666667
2025-07-31 11:00:00,300.86612222222226,299.8468233333333,-0.4711601411111112,0.4307299244444444,97335.09055555555
2025-07-31 12:00:00,300.9446877777778,299.70974777777775,-0.509744121888889,0.6067762516666666,97297.32500000001
2025-07-31 13:00:00,300.68147444444446,299.5991922222222,-0.4518045766666666,0.9253010755555555,97375.88577777777
2025-07-31 14:00:00,300.5009322222222,299.5972611111111,-0.487075496,1.0422002711111111,97398.08377777778
2025-07-31 15:00:00,300.0733577777778,299.55554777777775,-0.2785527996666667,0.83883363,97420.08666666667
2025-07-31 16:00:00,299.97947444444446,299.4441111111111,-0.48213906222222225,0.7082958966666667,97512.51677777777
2025-07-31 17:00:00,299.6888877777778,299.25666666666666,-0.5890750877777777,0.7005113388888888,97535.742
2025-07-31 18:00:00,299.82974,299.25637222222224,-0.4648125922222222,0.9752957299999999,97529.29888888888
2025-07-31 19:00:00,299.6235755555556,299.15256999999997,-0.34159671,1.1795496555555556,97468.08666666667
2025-07-31 20:00:00,299.6882611111111,299.14103555555556,0.19950188555555554,1.33843057,97450.29777777777
2025-07-31 21:00:00,299.8433422222222,298.99398777777776,0.5587887188888889,1.3833748277777778,97421.83944444446
