to date,no2,ozone,city,hour,weekday,month,weekofyear,hour_sin,hour_cos,dayofyear_sin,dayofyear_cos,season,no2_lag_1,no2_lag_2,no2_lag_3,no2_lag_6,no2_lag_12,no2_lag_24,no2_rollmean_3,no2_rollmean_6,no2_rollmean_12,no2_rollmean_24,no2_prev_day,ozone_lag_1,ozone_lag_2,ozone_lag_3,ozone_lag_6,ozone_lag_12,ozone_lag_24,ozone_rollmean_3,ozone_rollmean_6,ozone_rollmean_12,ozone_rollmean_24,ozone_prev_day,target_no2_24h,target_no2_48h,target_o3_24h,target_o3_48h
2025-08-30 04:00:00,24.47363636363636,11.52709677419355,Delhi,4,5,8,35,0.8660254037844386,0.5000000000000001,-0.8543221697498269,-0.5197438121555157,Summer,26.18606060606061,27.04121212121212,29.82424242424242,30.86818181818182,26.4859375,26.71636363636363,25.90030303030302,28.54512941919192,29.376273572417727,28.644393493910883,26.71636363636363,13.3434375,12.82806451612903,12.8721875,14.4096875,21.30806451612903,13.32969696969697,12.566199596774188,13.195722446236568,15.527187836021506,16.040310697878397,13.32969696969697,27.04757575757576,24.3430303030303,13.55636363636364,19.455
2025-08-30 05:00:00,24.98969696969697,11.30677419354839,Delhi,5,5,8,35,0.9659258262890683,0.25881904510252074,-0.8543221697498269,-0.5197438121555157,Summer,24.47363636363636,26.18606060606061,27.04121212121212,29.003125,26.28032258064516,25.50272727272727,25.21646464646464,27.876224747474748,29.26872143817204,28.62301723128462,25.50272727272727,11.52709677419355,13.3434375,12.82806451612903,14.30741935483871,21.84387096774194,13.5928125,12.05910282258064,12.695614919354847,14.649096438172045,15.945059101776247,13.5928125,25.46151515151515,24.04333333333333,13.50272727272727,18.43875
2025-08-30 06:00:00,24.30030303030303,11.27709677419355,Delhi,6,5,8,35,1.0,6.123233995736766e-17,-0.8543221697498269,-0.5197438121555157,Summer,24.98969696969697,24.47363636363636,26.18606060606061,34.7425,31.45903225806452,25.70060606060606,24.58787878787878,26.135858585858585,28.67216066919192,28.564671271688663,25.70060606060606,11.30677419354839,11.52709677419355,13.3434375,14.29612903225807,21.81354838709678,13.78,11.370322580645157,12.192442876344096,13.771058803763443,15.840771467367643,13.78,24.61636363636364,24.39909090909091,14.32212121212121,17.44125
2025-08-30 07:00:00,25.95235294117647,11.45741935483871,Delhi,7,5,8,35,0.9659258262890683,-0.25881904510252063,-0.8543221697498269,-0.5197438121555157,Summer,24.30030303030303,24.98969696969697,24.47363636363636,29.82424242424242,28.49,25.98727272727273,25.080784313725484,25.490543672014258,28.460690080956624,28.56321628060132,25.98727272727273,11.27709677419355,11.30677419354839,11.52709677419355,12.8721875,19.242,12.8158064516129,11.347096774193544,11.95664818548388,13.12234375,15.78417200500205,12.8158064516129,23.59969696969697,25.09393939393939,15.23,18.79870967741935
2025-08-30 08:00:00,26.84823529411765,13.44935483870968,Delhi,8,5,8,35,0.8660254037844387,-0.4999999999999998,-0.8543221697498269,-0.5197438121555157,Summer,25.95235294117647,24.30030303030303,24.98969696969697,27.04121212121212,32.80878787878788,27.92,25.700297088532377,25.458380867498516,27.96397736556744,28.51855941785622,27.92,11.45741935483871,11.27709677419355,11.30677419354839,12.82806451612903,15.3234375,12.8590625,12.06129032258064,12.060196572580656,12.966170194892475,15.808767519114957,12.8590625,24.63242424242424,26.06333333333333,18.47666666666667,16.684375
2025-08-30 09:00:00,23.90212121212121,16.0003125,Delhi,9,5,8,35,0.7071067811865476,-0.7071067811865475,-0.8543221697498269,-0.5197438121555157,Summer,26.84823529411765,25.95235294117647,24.30030303030303,26.18606060606061,31.33818181818182,27.7839393939394,25.567569815805104,25.07772430184195,27.34430564839572,28.356816993613794,27.7839393939394,13.44935483870968,11.45741935483871,11.27709677419355,13.3434375,14.519375,13.02633333333333,13.635695564516121,12.503009072580658,13.089581653225807,15.932683317726065,13.02633333333333,24.6103125,28.0634375,20.9415625,15.87225806451613
2025-08-30 10:00:00,23.84727272727273,20.9909375,Delhi,10,5,8,35,0.49999999999999994,-0.8660254037844387,-0.8543221697498269,-0.5197438121555157,Summer,23.90212121212121,26.84823529411765,25.95235294117647,24.47363636363636,30.86818181818182,27.44787878787879,24.86587641117052,24.97333036244801,26.759229890819967,28.20679174108854,27.44787878787879,16.0003125,13.44935483870968,11.45741935483871,11.52709677419355,14.4096875,14.695,16.813534946236555,14.080315860215066,13.638019153225807,16.195014046892734,14.695,24.21625,27.35818181818182,21.49193548387097,16.3840625
2025-08-30 11:00:00,22.64878787878788,27.409375,Delhi,11,5,8,35,0.258819045102521,-0.9659258262890682,-0.8543221697498269,-0.5197438121555157,Summer,23.84727272727273,23.90212121212121,26.84823529411765,24.98969696969697,29.003125,27.2130303030303,23.466060606060598,24.583178847296494,26.22970179738562,28.016614973411777,27.2130303030303,20.9909375,16.0003125,13.44935483870968,11.30677419354839,14.30741935483871,16.5825,21.46687499999999,16.764082661290335,14.729848790322583,16.6461338385594,16.5825,24.690625,27.34727272727273,21.01645161290323,16.225
2025-08-30 12:00:00,26.08264705882353,30.043125,Delhi,12,5,8,35,1.2246467991473532e-16,-1.0,-0.8543221697498269,-0.5197438121555157,Summer,22.64878787878788,23.84727272727273,23.90212121212121,24.30030303030303,34.7425,27.38939393939394,24.192902554961375,24.880236185383243,25.508047385620916,27.96216718672134,27.38939393939394,27.409375,20.9909375,16.0003125,11.27709677419355,14.29612903225807,18.42969696969697,26.147812499999997,19.891754032258074,16.04209845430108,17.13002667315536,18.42969696969697,25.013125,24.80794117647059,20.49870967741936,18.7428125
2025-08-30 13:00:00,24.08970588235294,33.9840625,Delhi,13,5,8,35,-0.2588190451025208,-0.9659258262890683,-0.8543221697498269,-0.5197438121555157,Summer,26.08264705882353,22.64878787878788,23.84727272727273,25.95235294117647,29.82424242424242,34.2159375,24.273713606654777,24.569795008912653,25.03016934046346,27.540240869319376,34.2159375,30.043125,27.409375,20.9909375,11.45741935483871,12.8721875,15.85612903225807,30.47885416666666,23.646194556451622,17.80142137096774,17.88535723431127,15.85612903225807,27.00454545454545,23.41558823529412,24.579375,24.47757575757576
